20-04-2019,21-04-2019,TRYP by Wyndham Times Square South,"1,182",8.1/10,"2,735"
20-04-2019,21-04-2019,"Night Hotel Theater District, Times Square","1,434",8.0/10,570
20-04-2019,21-04-2019,The High Line Hotel,"1,341",8.4/10,222
20-04-2019,21-04-2019,The Marlton Hotel,"1,348",8.6/10,"1,339"
20-04-2019,21-04-2019,Hotel Hayden New York,841,8.2/10,"1,209"
20-04-2019,21-04-2019,Renaissance New York Midtown Hotel,751,8.9/10,938
20-04-2019,21-04-2019,Aliz Hotel Times Square,791,8.6/10,"1,205"
20-04-2019,21-04-2019,Moxy NYC Chelsea,931,8.9/10,61
20-04-2019,21-04-2019,The Benjamin,"1,021",8.1/10,631
20-04-2019,21-04-2019,Mondrian Park Avenue,"1,078",8.4/10,516
20-04-2019,21-04-2019,Iberostar 70 Park Avenue,895,8.3/10,"1,661"
20-04-2019,21-04-2019,Carnegie Hotel,967,8.9/10,"1,522"
20-04-2019,21-04-2019,Hotel Wales,"1,188",8.1/10,924
20-04-2019,21-04-2019,Hotel Americano,773,8.0/10,241
20-04-2019,21-04-2019,Hotel 48LEX New York,"1,129",8.4/10,887
20-04-2019,21-04-2019,Lord & Moris - Times Square Hotel,715,7.8/10,688
20-04-2019,21-04-2019,The NoMad Hotel,"1,078",9.0/10,655
20-04-2019,21-04-2019,Courtyard New York Manhattan/Midtown East,"1,254",8.3/10,661
20-04-2019,21-04-2019,Residence Inn by Marriott New York Manhattan/ Midtown Eastside,"1,003",8.9/10,612
